ingredients,ins_timestamp,upd_timestamp,status,t_ingredient_name,normalized_name
肉片,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,肉片,牛肉
豬梅花肉,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,豬梅花肉,豬肉
紅蔥頭末,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,紅蔥頭末,紅蔥頭
淡色醬油,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,淡色醬油,醬油
芝麻醬,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,芝麻醬,芝麻
甜麵醬,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,甜麵醬,黃豆
三角油豆腐,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,三角油豆腐,油豆腐
鴻喜菇,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,鴻喜菇,鴻喜菇
枸杞,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,枸杞,枸杞
玉米筍,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,玉米筍,玉米筍
黑胡椒,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,黑胡椒,黑胡椒
西式綜合香料,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,西式綜合香料,香料
綠豆苗,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,綠豆苗,綠豆
糖醋醬,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,糖醋醬,米
青花椰菜,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,青花椰菜,花椰菜
昆布醬油,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,昆布醬油,黃豆
乾香菇蒂頭,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,乾香菇蒂頭,香菇
竹筍末,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,竹筍末,竹筍
豆干末,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,豆干末,黃豆
肉桂粉,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,肉桂粉,肉桂粉
冬瓜茶,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,冬瓜茶,冬瓜
檸檬,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,檸檬,檸檬
海帶結,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,海帶結,海帶
油豆腐,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,油豆腐,豆腐
胡椒粒,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,胡椒粒,胡椒
發糕粉,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,發糕粉,米
素鴨肉,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,素鴨肉,黃豆
素高湯,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,素高湯,蔬菜
蓮子,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,蓮子,蓮子
當歸,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,當歸,當歸
紅棗,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,紅棗,紅棗
桂圓肉,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,桂圓肉,桂圓肉
山藥,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,山藥,山藥
白果,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,白果,白果
蔘鬚,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,蔘鬚,蔘
新鮮百合,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,新鮮百合,百合
